ick	ik	Pron(pers,1,sing)
vant	van+het	Adp()+Art(def)
vercken	varken	V(infin)
onsen	ons	pron(poss)
hoochmoet	hoogmoed	N(sing)
is	zijn	v(fin,pres,aux_cop)
ghedaen	doen	v(participle,past)
dat	dat	conj(subord)
moghen	mogen	V(fin,pres,aux_cop)
wy	wij	Pron(pers,1,plu)
wel	wel	Adv(gener)
dancken	danken	V(infin)
mijn	mijn	Pron(poss)
heere	heer	N(sing)
van	van	Adp()
bossue	bossu	N(sing)
ghy	gij	Pron(pers,2,plu)
hoeren	horen	V(infin)
meucht	mogen	V(fin,pres,aux_cop)
wel	wel	adv(gener)
schampen	schampen	V(infin)
wy	wij	Pron(pers,1,plu)
zijn	zijn	V(fin,pres,aux_cop)
u	gij	Pron(pers,2,sing)
allegaer	algader	Adv(gener)
mue	muur	n(sing)
des	de	pron(dem)
moet	moed	n(sing)
der	de	Art(def)
duyvel	duivel	N(sing)
waghen	wagen	N(plu)
oyt	ooit	Adj()
spaengiaert	spanjaard	N(prop)
te	te	Adp()
hebben	hebben	V(infin)
ghelooft	geloven	v(participle,past)
van	van	Adp()
vrienden	vriend	n(plu)
ende	en	conj(coord)
maghen	maag	N(plu)
soo	zo	adv(resum)
hebt	hebben	V(fin,pres,aux_cop)
ghy	gij	Pron(pers,2,sing)
ons	wij	Pron(pers,1,plu)
berooft	beroven	V(fin,pres,lex)
ghy	gij	Pron(pers,2,plu)
wout	willen	V(fin,pres,lex)
ons	wij	pron(pers,1,plu)
maken	maken	v(infin)
gravinnen	graving	n(plu)
van	van	adp()
steden	stad	N(plu)
en	en	Conj(coord)
dorpen	dorp	V(infin)
moy	mozes	Adv(gener)
nu	nu	Adv(dem)
moghen	mogen	V(fin,pres,aux_cop)
wy	wij	Pron(pers,1,plu)
gaen	gaan	V(infin)
spinnen	spinnen	V(infin)
end	en	Conj(coord)
bedelen	bedelen	V(infin)
broot	brood	N(sing)
om	om	Adp()
goy	god	N(sing)
ghy	gij	Pron(pers,2,plu)
draecht	dragen	V(fin,pres,lex)
fluweelen	houweel	V(infin)
mouwen	mouw	V(infin)
lobben	loven	V(infin)
end	en	Conj(coord)
ringhen	ring	V(infin)
