verheuen	verheffen	v(participle,past)
die	de	Art(def)
dwaesen	dwaas	n(plu)
die	die	pron(rel)
nae	na	adp()
v	gij	pron(pers,2,plu)
niet	niet	Adv(neg)
vraeghen	vragen	v(infin)
sullen	zullen	V(fin,pres,aux_cop)
voor	voor	Adp()
v	gij	Pron(poss)
verschynen	verschijnen	V(infin)
niet	niet	adv(neg)
want	want	Conj(coord)
ghy	gij	Pron(pers,2,sing)
die	de	Art(def)
haetet	haten	N(sing)
so	zo	adv(gener)
men	men	pron(indef)
siet	zien	v(fin,pres,lex)
die	de	Pron(rel)
boosheit	boosheid	n(sing)
doen	doen	V(infin)
sonder	zonder	Adp()
vertzaeghen	versagen	V(infin)
iae	ja	interj()
met	met	Adp()
behaeghen	behagen	V(infin)
ghy	gij	Pron(pers,2,plu)
sult	zullen	V(fin,pres,aux_cop)
vwe	uw	Pron(poss)
gramschap	gramschap	N(sing)
bewysen	bewijzen	V(infin)
ouer	over	Adp()
die	de	Art(def)
lueghenaers	leugenspreker	n(plu)
gemeen	gemeen	adj()
doodslagers	doodslag	n(sing)
bedriegers	bedrieger	N(plu)
met	met	adp()
een	een	Art(indef)
syn	zin	N(sing)
voor	voor	Adp()
godt	god	N(sing)
dien	die	Pron(rel)
elck	elk	Pron(indef)
mensch	mens	N(sing)
moet	moeten	V(fin,pres,aux_cop)
prysen	prijzen	V(infin)
een	een	Art(indef)
groot	groot	Adj()
afgrysen	agnes	N(sing)
pourquoy	rauw	n(sing)
mon	mond	n(sing)
coeur	koever	n(sing)
pense	peinzen	n(sing)
souspire	soldier	n(sing)
souuerain	saffraan	n(sing)
sire	zijn	pron(poss)
entens	de+en	n(sing)
a	a	n(sing)
la	lauw	n(sing)
voix	vrij	n(sing)
tresardente	verspreiden	V(fin,past,lex)
de	de	Art(def)
ma	man	N(sing)
clameur	erop+klimmen	n(sing)
mon	mond	n(sing)
dieu	dief	n(sing)
mon	mond	n(sing)
roy	rauw	n(sing)
veu	uw	Pron(poss)
que	que	n(sing)
tant	tand	n(sing)
seulement	hij+zullen	n(sing)
a	a	n(sing)
toy	te	adp()
ma	mogen	n(sing)
supplication	zoekelijkheid	n(sing)
presente	present	n(sing)
i	een	art(indef)
'	?	n(sing)
offre	offeren	n(sing)
presente	present	n(sing)
matin	maten	n(sing)
deuant	bevinden	n(sing)
que	que	n(sing)
iour	ivoor	n(sing)
il	al	adv(gener)
face	pekach	N(sing)
s	sint	Art(def)
'	?	punc(quest)
il	al	Adv(gener)
te	te	adp()
plaist	plaaster	n(sing)
tu	du	pron(pers,2,sing)
m	duizend	Pron(refl,1,sing)
'	?	punc(quest)
exauceras	equicervus	n(prop)
car	kaar	n(sing)
bien	bij	v(infin)
matin	maten	n(sing)
prie	kraaien	n(sing)
seras	sarai	n(prop)
de	de	Art(def)
moy	mozes	N(sing)
leuant	levend	Adj()
au	af	n(sing)
ciel	kiel	n(sing)
la	lauw	Misc()
face	pekach	n(sing)
attendant	altehand	v(infin)
grace	gratie	n(sing)
tu	du	pron(pers,2,sing)
es	zijn	v(fin,pres,aux_cop)
le	leeuw	n(sing)
vray	fraai	adj()
dieu	dief	n(sing)
qui	zestien	adj()
meschance	miskwaam	n(sing)
n	een	art(indef)
'	?	punc(quest)
aimes	ai+ik	n(sing)
point	punt	n(sing)
ne	ne	adv(neg)
malignite	madianiet	n(sing)
et	het	pron(pers,3,sing)
auec	havik	v(fin,past,lex)
qui	zestien	adv(gener)
en	en	Conj(coord)
verite	verbieden	v(fin,past,lex)
malfaicteurs	jolijvigheid	n(sing)
n	een	art(indef)
'	?	punc(quest)
auront	stront	n(sing)
accointance	jechonja	n(plu)
ne	ne	adv(neg)
demeurance	die+eraan+men	adv(gener)+adv(gener)
iamais	iannes	n(prop)
le	le	n(sing)
fol	vol	n(sing)
temeraire	immermeer	adv(gener)
n	een	art(indef)
'	?	punc(quest)
ose	hosea	n(sing)
