end	en	Conj(coord)
ghy	gij	Pron(pers,2,plu)
rechters	rechter	N(plu)
wilt	willen	V(fin,pres,aux_cop)
met	met	Adp()
ootmoet	ootmoed	N(sing)
aenueerden	aanvaarden	V(fin,past,lex)
t	het	Art(def)
'	?	punc(quest)
goet	goed	Adj()
vermaen	vermaan	v(infin)
dat	dat	Conj(subord)
v	gij	pron(pers,2,plu)
van	van	adp()
my	ik	Pron(pers,1,sing)
werdt	worden	v(fin,pres,aux_cop)
gedaen	doen	v(participle,past)
dient	dienen	V(fin,pres,lex)
godt	god	N(sing)
met	met	Adp()
kinderlicke	kinderlief	Adj()
vreese	vrees	N(sing)
goet	goed	Adj()
vreest	vrezen	N(sing)
sijn	zijn	Pron(poss)
gramschap	gramschap	N(sing)
end	en	Conj(coord)
soeckt	zoeken	V(fin,pres,lex)
hem	hij	Pron(pers,3,sing)
te	te	Adp()
behaegen	behagen	v(infin)
verblijdt	verblijden	v(imp)
v	gij	Pron(pers,2,plu)
end	en	Conj(coord)
beeft	beven	V(fin,pres,lex)
voor	voor	Adp()
hem	hij	Pron(pers,3,sing)
met	met	Adp()
ootmoet	ootmoed	N(sing)
siet	zien	v(fin,pres,lex)
dat	dat	Conj(subord)
ghy	gij	Pron(pers,2,sing)
hem	hij	Pron(pers,3,sing)
geen	geen	Pron(indef)
oorsaeck	oorzaak	N(sing)
geeft	geven	v(fin,pres,lex)
te	te	Adp()
klaegen	klagen	V(infin)
le	le	n(sing)
toutpuissant	dat+du+de	n(prop)
de	de	Art(def)
leur	lever	N(sing)
facon	dagon	n(prop)
despite	bespieden	V(fin,pres,lex)
se	zij	pron(pers,3,plu)
moquera	murwe	N(sing)
car	kaar	N(sing)
d	de	Art(def)
'	?	punc(quest)
eux	e	N(sing)
il	al	adv(gener)
ne	ne	adv(neg)
luy	luid	adv(gener)
chaut	geven+het	n(sing)
lors	loos	Adj()
s	sint	Art(def)
'	?	punc(quest)
il	al	Adv(gener)
luy	luid	n(sing)
plaist	plaaster	n(sing)
parler	parloor	n(sing)
a	a	n(sing)
eux	e	n(sing)
viendra	vijand	n(sing)
en	en	Conj(coord)
son	zon	adv(resum)+adv(neg)
courroux	koers	n(sing)
plus	paus	n(sing)
qu	vijftien	adv(gener)
'	?	punc(quest)
autre	altaar	n(sing)
espouuantable	aesculapius	n(prop)
et	het	pron(pers,3,sing)
tous	dous	n(sing)+adp()
ensemble	ijselijk	adv(gener)
estonnez	historie	n(prop)
les	lezen	n(sing)
rendra	rund	N(sing)
en	en	Conj(coord)
sa	zullen	v(fin,pres,aux_cop)
fureur	purper	adj()
terrible	deze+te	n(sing)
redoutable	ribla	n(sing)
rois	roos	n(sing)
dirail	dina	N(sing)
d	de	Art(def)
'	?	punc(quest)
ou	o	Adv(gener)
vient	vijand	n(sing)
ceste	geeste	n(sing)
entreprise	entelmes	n(sing)
de	de	Art(def)
mon	mond	n(sing)
vray	fraai	adj()
roy	rauw	n(sing)
i	een	art(indef)
'	?	n(sing)
ay	ai	interj()
fait	maten	n(sing)
election	electrum	n(prop)
ie	je	adv(gener)
l	leeuw	n(sing)
'	?	punc(quest)
ay	ai	interj()
sacre	sacre	n(sing)
sa	zullen	adv(gener)
couronne	courant	n(sing)
il	veertig	num(indef)
a	a	n(sing)
prise	prijs	n(sing)
sur	zuur	adj()
mon	mond	n(sing)
tressaint	tristan	n(sing)
haut	hebben	n(sing)
mont	mond	n(sing)
de	de	art(def)
sion	sion	n(sing)
et	het	pron(pers,3,sing)
ie	je	adv(gener)
qui	zestien	adv(gener)
suis	het+zij	n(sing)
le	le	n(sing)
roy	rauw	n(sing)
qui	zestien	adj()
luy	luid	n(sing)
ay	ai	interj()
pleu	plegen	n(sing)
raconteray	exponeren	n(sing)
sa	zij	adv(gener)
sentence	sententie	adj()
donnee	deunen	n(sing)
c	c	n(sing)
'	twee	num(card)
est	het+zijn	pron(pers,3,sing)+v(fin,pres,aux_cop)
qu	vijftien	adv(gener)
'	?	punc(quest)
il	al	Adv(gener)
m	duizend	Pron(pers,1,sing)
'	?	num(card)
a	a	n(sing)
dit	dit	pron(dem)
tu	du	pron(pers,2,sing)
es	zijn	v(fin,pres,aux_cop)
mon	mond	n(sing)
fils	fel	adj()
eleu	el	n(sing)
engendre	engen	N(plu)
t	het	Art(def)
'	?	punc(quest)
ay	ai	interj()
ceste	geeste	n(sing)
heureuse	hebreeuws	n(sing)
iournee	ivoor	n(prop)
demande	mond+te	n(sing)
moy	mozes	conj(coord)
pour	puur	n(sing)
ton	tong	n(sing)
heritage	heremiet	n(sing)
subiets	subiet	n(prop)
a	a	n(sing)
toy	te	adp()
tous	dous	n(sing)
peuples	paulus	n(sing)
ie	je	adv(gener)
rendray	hij+peinzen	n(prop)
et	het	pron(pers,3,sing)
ton	doen	adp()
empire	empireum	n(sing)
aura	abraham	n(prop)
cest	cessen	n(sing)
auantage	avondmaal	n(sing)
que	que	n(sing)
iusqu	het+ik	n(prop)
'	?	punc(quest)
aux	af	n(sing)
bords	boord	n(sing)
du	du	pron(pers,2,sing)
monde	mond	n(sing)
l	leeuw	n(sing)
'	?	punc(quest)
estendray	zaterdag	n(sing)
verge	vergeven	v(imp)
de	de	Art(def)
fer	vrouw	n(sing)
en	en	Conj(coord)
ta	te	Adp()
main	maan	N(sing)
porteras	poorter	n(sing)
pour	puur	n(sing)
les	lezen	n(sing)
dompter	dom	n(sing)
les	lezen	n(sing)
tenir	te+de	N(sing)
en	en	Conj(coord)
serre	zeer	adv(gener)
et	het	Art(def)
s	sint	v(fin,pres,aux_cop)
'	?	punc(quest)
il	al	Adv(gener)
te	te	adp()
plaist	plaaster	N(sing)
menu	men	pron(indef)
les	lezen	n(sing)
briseras	spieder	n(sing)
aussi	als+hij	n(sing)
aise	eten+zij	n(sing)
comme	komen	n(sing)
vn	in	adp()
vaisseau	vazal	N(prop)
de	de	art(def)
terre	deze+te	pron(dem)+adp()
maintenant	mainteneren	n(sing)
donc	doen	n(sing)
o	o	interj()
vous	vos	N(sing)
rois	roos	N(sing)
princes	prins	n(sing)
plus	paus	n(sing)
entendus	de+en	art(def)+conj(coord)
sages	zien	n(sing)
deuenez	degene	n(sing)
iuges	juge	n(sing)
aussi	als+hij	n(prop)
de	de	Art(def)
