ghemoet	gemoed	N(sing)
betert	beteren	V(fin,pres,lex)
v	gij	pron(pers,2,plu)
van	van	adp()
dees	deze	Pron(dem)
sonde	zonde	N(sing)
end	en	Conj(coord)
schande	schande	N(sing)
end	en	Conj(coord)
stelt	stellen	V(fin,pres,lex)
op	op	Adp()
godt	god	N(sing)
seer	zeer	Adv(gener)
goederhande	goederhande	Adj()
geheel	geheel	Adv(gener)
al	al	adv(gener)
v	uw	pron(poss)
vertrauwen	vertrouwen	v(infin)
goet	goed	adj()
veel	veel	Num(indef)
spreeken	spreken	V(infin)
hoe	hoe	Adv(inter)
kan	kunnen	V(fin,pres,aux_cop)
hy	hij	Pron(pers,3,sing)
ons	wij	Pron(pers,1,plu)
leeren	leren	V(infin)
dat	dat	Conj(subord)
goed	goed	adj()
is	zijn	V(fin,pres,aux_cop)
end	en	Conj(coord)
godt	god	N(sing)
aengenaem	aannemen	V(fin,pres,lex)
nae	na	Adp()
v	uw	Pron(poss)
goedtheit	goedheid	N(sing)
wilt	willen	V(fin,pres,aux_cop)
heer	heer	N(sing)
der	de	Art(def)
heeren	heer	N(sing)
v	gij	Pron(poss)
lieflick	lieflijk	adj()
aenschyn	aanschijn	N(sing)
doch	doch	adv(gener)
eens	een	Adv(gener)
keeren	keren	V(infin)
tot	tot	Adp()
my	ik	Pron(pers,1,sing)
end	en	Conj(coord)
'	?	punc(quest)
al	al	Adv(gener)
de	de	Art(def)
myne	mijn	Pron(poss)
t	het	Art(def)
'	?	punc(quest)
saem	samen	N(sing)
want	want	conj(coord)
meer	meer	num(indef)
blijdschap	blijdschap	n(sing)
is	zijn	V(fin,pres,aux_cop)
my	ik	pron(pers,1,sing)
gegeuen	geven	v(participle,past)
doer	door	Adp()
v	uw	pron(poss)
aenschyn	aanschijn	N(sing)
heer	heer	N(sing)
goedertier	goedertieren	Adj()
dan	dan	Conj(comp)
hen	zij	pron(pers,3,plu)
is	zijn	v(fin,pres,aux_cop)
die	die	pron(rel)
hier	hier	adv(dem)
syn	zijn	V(fin,pres,aux_cop)
verheuen	verheffen	V(participle,past)
die	die	Pron(rel)
met	met	Adp()
veel	veel	num(indef)
wyns	wijn	N(sing)
end	en	Conj(coord)
koorens	koren	N(sing)
leuen	leven	V(infin)
hebbende	hebben	V(participle,pres)
haeren	haar	Pron(poss)
nootdruft	nooddruft	N(sing)
hier	hier	Adv(dem)
dus	dus	Adv(dem)
sal	zullen	V(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
my	ik	Pron(pers,1,sing)
in	in	Adp()
goeden	goed	adj()
vrede	vrede	n(sing)
nederleggen	nederleggen	V(infin)
end	en	Conj(coord)
slapen	slapen	V(infin)
wel	wel	Adv(gener)
want	want	conj(subord)
v	uw	Pron(poss)
goetheit	goedheid	n(sing)
beschickt	beschikken	V(fin,pres,lex)
dit	dit	pron(dem)
mede	mede	adv(gener)
die	die	pron(rel)
my	ik	pron(pers,1,sing)
doet	doen	V(fin,pres,lex)
hopen	hopen	V(infin)
hier	hier	Adv(dem)
beneden	beneden	Adp()
end	en	Conj(coord)
int	in+het	Adp()+Art(def)
'	?	Art(def)
ryck	rijk	N(sing)
doet	doen	V(fin,pres,lex)
hebben	hebben	V(fin,pres,aux_cop)
beuel	bevel	n(sing)
qvand	want	v(fin,past,lex)
ie	je	Interj()
t	het	Art(def)
'	?	punc(quest)
inuoque	knoop	N(sing)
helas	helaas	n(prop)
escoute	schout	n(sing)
o	o	interj()
dieu	dief	Pron(rel)
de	de	Art(def)
ma	man	N(sing)
cause	cause	n(sing)
raison	seizoen	n(sing)
mon	mond	n(sing)
coeur	koever	n(sing)
serre	zeer	adv(gener)
au	af	n(sing)
large	lang	n(sing)
boute	boud	n(sing)
de	de	Art(def)
ta	te	Adp()
pitie	put	n(sing)
ne	ne	adv(neg)
me	mee	num(indef)
reboute	welzoet	n(sing)
mais	pais	n(sing)
exauce	hebben+ik	n(sing)
mon	mond	n(sing)
oraison	fraai	n(prop)
iusqaes	josia	n(prop)
a	a	n(sing)
quand	kwaad	n(sing)
gens	geen	n(sing)
inhumaines	inkomen	n(prop)
ma	mogen	n(sing)
gloire	glorie	n(sing)
abatre	hadad	n(prop)
tacherez	jager	n(sing)
iusques	ivoor	n(prop)
a	a	n(sing)
quand	kwaad	n(sing)
emprises	empireum	n(prop)
vaines	vangen	n(sing)
sans	sens	n(sing)
fruit	kruit	n(sing)
d	de	Art(def)
'	?	punc(quest)
abusion	augustinus	n(prop)
pleines	plein	n(sing)
aimerezvous	???	n(prop)
chercherez	klerkelijk	n(sing)
sachez	zien	n(sing)
puis	ovis	n(sing)
qu	vijftien	adv(gener)
'	?	punc(quest)
il	al	adv(gener)
le	le	n(sing)
conuient	convent	n(sing)
dire	die	pron(dem)
que	que	n(sing)
dieu	dief	pron(rel)
pour	puur	n(sing)
son	zon	n(sing)
roy	rauw	Adj()
gracieux	gratie	n(sing)
entre	de+en	n(sing)
tous	dous	Adp()
m	duizend	Pron(pers,1,sing)
'	?	num(card)
a	a	n(sing)
voulu	vaal	n(sing)
elire	elk	adj()
et	eten	pron(pers,3,sing)
si	zij	pron(pers,3,plu)
a	a	n(sing)
luy	luid	adj()
crie	kraaien	n(sing)
souspire	soldier	n(sing)
il	al	Adv(gener)
m	duizend	Pron(pers,1,sing)
'	?	punc(quest)
entendra	ander+en+het	N(sing)
de	de	Art(def)
ses	zes	Num(card)
hauts	hebben	N(sing)
cieux	lief	Adj()
tremblez	vreemd	n(sing)
donques	confuus	N(sing)
de	de	art(def)
telle	tellen	n(sing)
chose	kus	n(sing)
sans	sens	n(sing)
plus	paus	n(sing)
contre	contrei	n(sing)
son	zon	n(sing)
vueil	vuil	adj()
pecher	pek	n(sing)
pensez	peinzen	n(sing)
en	en	Conj(coord)
vous	dous	N(sing)
ce	c	n(sing)
que	que	n(sing)
propose	proper	n(sing)
dessus	jezus	n(prop)
vos	vos	n(sing)
licts	licht	n(sing)
en	en	adv(neg)
chambre	klapper	N(prop)
close	glos	n(sing)
et	het	pron(pers,3,sing)
cessez	jesse	v(fin,pres,lex)
de	de	art(def)
plus	paus	N(sing)
me	mee	num(indef)
fascher	vals	n(sing)
puis	ovis	n(sing)
offrez	offeren	n(sing)
iuste	jutte	n(sing)
sacrifice	sacrificie	n(sing)
de	de	Art(def)
coeur	koever	n(sing)
contrit	contract	n(sing)
bien	bij	v(infin)
humblement	uitblijven	n(sing)
pour	puur	n(sing)
repentance	regent	n(sing)
d	de	Art(def)
'	?	punc(quest)
vn	in	Adp()
tel	te	n(sing)
vice	vijg	num(card)
mettans	de+met	n(prop)
au	af	n(sing)
seigneur	seigneur	n(sing)
dieu	dief	n(sing)
propice	ik+proeven	n(sing)
vos	vos	n(sing)
fiances	ehud	n(prop)
entierement	die+en+zij	v(infin)
plusieurs	pluvier	n(sing)
gens	geen	n(sing)
disent	duizend	pron(dem)
qui	zestien	adj()
serace	zerig	n(sing)
qui	zestien	adj()
nous	nauw	n(sing)
fera	per	N(sing)
voir	voor	Conj(subord)
force	vork	N(sing)
biens	bij	N(sing)
o	o	interj()
seigneur	seigneur	n(sing)
par	paar	N(sing)
ta	te	adp()
sainte	zaaien	n(sing)
grace	gratie	n(sing)
vueilles	voormaals	adj()
la	lauw	Misc()
clarte	klaar	Adj()
de	de	Art(def)
ta	te	Adp()
face	pekach	n(sing)
esleuer	ijselijk	n(sing)
sur	zuur	adj()
moy	mozes	conj(coord)
les	lezen	n(sing)
miens	ik	pron(pers,1,sing)
car	kaar	n(sing)
plus	paus	N(sing)
de	de	Art(def)
ioye	jooie	N(sing)
m	duizend	Pron(pers,1,sing)
'	?	punc(quest)
est	het+zijn	pron(pers,3,sing)+v(fin,pres,aux_cop)
donnee	deunen	n(sing)
par	paar	n(sing)
ce	c	n(sing)
moyen	moeien	v(infin)
o	o	interj()
dieu	dief	Adj()
treshaut	vreedzaam	N(sing)
que	que	n(sing)
n	een	art(indef)
'	?	num(card)
ont	hond	adp()+art(def)
ceux	115	n(sing)
qui	zestien	adj()
ont	hond	adp()+art(def)
grand	grond	n(sing)
'	?	punc(quest)
