o	o	interj()
lustich	lustig	Adj()
int	in+het	Adp()+Art(def)
velt	veld	N(sing)
sy	zij	Pron(pers,3,plu)
hebben	hebben	V(fin,pres,aux_cop)
soo	zo	Adv(resum)
menighen	menig	Num(indef)
ruyter	ruiter	N(sing)
ghevelt	vellen	V(participle,past)
en	en	adv(neg)
so	zo	adv(resum)
menich	menig	num(indef)
spaengiaert	spanjaard	N(prop)
gheschoten	geschut	V(participle,past)
t	het	Art(def)
'	?	punc(quest)
welck	welk	Pron(rel)
heeft	hebben	V(fin,pres,aux_cop)
den	de	Art(def)
cornel	koorn	n(sing)
verdroten	verdrieten	v(fin,past,lex)
men	men	pron(indef)
sach	zien	v(fin,past,lex)
haerlem	haarlem	adv(gener)
bestormen	beërven	v(infin)
met	met	Adp()
macht	macht	n(sing)
vielen	vallen	v(fin,past,lex)
de	de	Art(def)
spaengiaerts	spanjaard	N(prop)
an	aan	Adp()
daer	daar	Adv(dem)
laghen	liggen	v(fin,past,lex)
so	zo	adv(resum)
veel	veel	num(indef)
int	in+het	Adp()+Art(def)
velt	veld	n(sing)
ghestorven	sterven	v(participle,past)
viermael	vitriake	n(sing)
sijnse	zijn+zij	pron(poss)
gheslaghen	slaan	V(participle,past)
daer	daar	Adv(dem)
van	van	adp()
want	want	conj(subord)
de	de	art(def)
vrouwen	vrouw	n(plu)
quamen	komen	V(fin,past,lex)
soo	zo	adv(resum)
stoutelick	stoutelijk	adv(gener)
an	aan	Adp()
met	met	adp()
steenen	steen	n(plu)
peckreepen	dekken+men	n(plu)
vier	vuur	num(card)
ende	en	conj(coord)
vlam	vlam	v(fin,past,lex)
wierpense	wijnkens	n(plu)
de	de	Art(def)
spaingiaerts	spanjaard	N(prop)
vande	van+de	Adp()+Art(def)
mueren	muur	V(infin)
sy	zij	Pron(pers,3,plu)
kreten	kreta	V(infin)
als	als	Conj(comp)
leelicke	lelijk	adj()
dieren	dier	n(plu)
doen	doen	V(infin)
zy	zij	Pron(pers,3,plu)
den	de	Art(def)
lesten	laatst	Adj()
storm	storm	n(sing)
verlooren	verliezen	v(participle,past)
bleeffer	blijven+er	V(fin,past,lex)+Pron(pers,3,plu)
wel	wel	adv(gener)
achthondert	achterwaart	V(fin,pres,lex)
doot	dood	N(sing)
en	een	art(indef)
ghewont	wonden	Adj()
de	de	art(def)
spaengiaerden	spanjaard	n(plu)
schudden	schudden	V(infin)
haer	haar	Pron(poss)
ooren	oor	N(plu)
ghelijck	gelijk	Adv(gener)
als	als	Conj(comp)
eenen	een	art(indef)
water	water	n(sing)
hondt	hond	N(sing)
sy	zij	Pron(pers,3,plu)
traden	treden	N(plu)
haer	haar	Pron(poss)
geweer	geweren	adj()
met	met	Adp()
voeten	voet	N(plu)
terstont	terstond	Adv(gener)
sy	zij	Pron(pers,3,plu)
riepen	roepen	V(fin,past,lex)
met	met	Adp()
tyrannigher	tyrannie	adj()
herten	hart	n(sing)
gront	grond	n(sing)
god	god	n(sing)
was	zijn	v(fin,past,aux_cop)
een	een	art(indef)
lutriaen	lutheraan	n(prop)
gheworden	worden	v(participle,past)
doe	toen	Adv(dem)
sy	zij	Pron(pers,3,plu)
d	de	Art(def)
'	?	punc(quest)
onnoosel	onnozel	N(sing)
niet	niet	adv(neg)
en	ne	adv(neg)
konden	kunnen	N(plu)
vermoorden	vermoorden	V(infin)
sestien	zestien	v(infin)
vaendel	onedel	N(sing)
knechten	knecht	n(plu)
ghetrouwen	getrouwen	v(infin)
sijn	zijn	v(fin,pres,aux_cop)
te	te	adp()
haerlem	haarlem	adv(gener)
binnen	binnen	adv(gener)
ghewent	wenen	v(participle,past)
en	en	Conj(coord)
twee	twee	num(card)
vaendels	voormaals	N(sing)
